  11.198 -3.063  12.196 -3.126  13.194 -3.188  14.192 -3.251  15.190 -3.314
  11.198 -3.055  12.197 -3.110  13.195 -3.165  14.194 -3.220  15.192 -3.275
  11.199 -3.047  12.198 -3.094  13.197 -3.141  14.196 -3.188  15.194 -3.236
  11.199 -3.039  12.198 -3.079  13.198 -3.118  14.197 -3.157  15.196 -3.196
  11.200 -3.031  12.199 -3.063  13.199 -3.094  14.198 -3.126  15.198 -3.157
  11.200 -3.024  12.199 -3.047  13.199 -3.071  14.199 -3.094  15.199 -3.118
  11.200 -3.016  12.200 -3.031  13.200 -3.047  14.200 -3.063  15.199 -3.079
  11.200 -3.008  12.200 -3.016  13.200 -3.024  14.200 -3.031  15.200 -3.039
  11.200 -3.000  12.200 -3.000  13.200 -3.000  14.200 -3.000  15.200 -3.000
  11.200  3.000  12.200  3.000  13.200  3.000  14.200  3.000  15.200  3.000
  11.200  3.008  12.200  3.016  13.200  3.024  14.200  3.031  15.200  3.039
  11.200  3.016  12.200  3.031  13.200  3.047  14.200  3.063  15.199  3.079
  11.200  3.024  12.199  3.047  13.199  3.071  14.199  3.094  15.199  3.118
  11.200  3.031  12.199  3.063  13.199  3.094  14.198  3.126  15.198  3.157
  11.199  3.039  12.198  3.079  13.198  3.118  14.197  3.157  15.196  3.196
  11.199  3.047  12.198  3.094  13.197  3.141  14.196  3.188  15.194  3.236
  11.198  3.055  12.197  3.110  13.195  3.165  14.194  3.220  15.192  3.275
  11.198  3.063  12.196  3.126  13.194  3.188  14.192  3.251  15.190  3.314
  11.198  3.071  12.195  3.141  13.193  3.212  14.190  3.283  15.188  3.353
  11.197  3.078  12.194  3.157  13.191  3.235  14.188  3.314  15.185  3.392
  11.196  3.086  12.193  3.173  13.189  3.259  14.185  3.345  15.181  3.431
  11.196  3.094  12.191  3.188  13.187  3.282  14.182  3.376  15.178  3.471
  11.195  3.102  12.190  3.204  13.184  3.306  14.179  3.408  15.174  3.510
  11.194  3.110  12.188  3.219  13.182  3.329  14.176  3.439  15.170  3.549
  11.193  3.118  12.186  3.235  13.179  3.353  14.172  3.470  15.165  3.588
  11.192  3.125  12.184  3.251  13.176  3.376  14.168  3.501  15.161  3.627
  11.191  3.133  12.182  3.266  13.173  3.399  14.164  3.532  15.155  3.666
  11.190  3.141  12.180  3.282  13.170  3.423  14.160  3.564  15.150  3.705
  11.189  3.149  12.178  3.297  13.167  3.446  14.156  3.595  15.144  3.743
  11.188  3.156  12.175  3.313  13.163  3.469  14.151  3.626  15.138  3.782
  11.186  3.164  12.173  3.328  13.159  3.493  14.146  3.657  15.132  3.821
  11.185  3.172  12.170  3.344  13.155  3.516  14.140  3.688  15.126  3.860
  11.184  3.180  12.167  3.359  13.151  3.539  14.135  3.719  15.119  3.898
  11.182  3.187  12.165  3.375  13.147  3.562  14.129  3.750  15.111  3.937
  11.181  3.195  12.162  3.390  13.142  3.585  14.123  3.780  15.104  3.975
  11.179  3.203  12.158  3.406  13.138  3.608  14.117  3.811  15.096  4.014
  11.178  3.210  12.155  3.421  13.133  3.631  14.110  3.842  15.088  4.052
  11.176  3.218  12.152  3.436  13.128  3.654  14.104  3.873  15.080  4.091
  11.174  3.226  12.148  3.452  13.123  3.677  14.097  3.903  15.071  4.129
  11.172  3.233  12.145  3.467  13.117  3.700  14.089  3.934  15.062  4.167
  11.171  3.241  12.141  3.482  13.112  3.723  14.082  3.964  15.053  4.205
  11.169  3.249  12.137  3.497  13.106  3.746  14.074  3.995  15.043  4.243
  11.167  3.256  12.133  3.513  13.100  3.769  14.066  4.025  15.033  4.281
  11.165  3.264  12.129  3.528  13.094  3.792  14.058  4.055  15.023  4.319
  11.162  3.271  12.125  3.543  13.087  3.814  14.050  4.086  15.012  4.357
  11.160  3.279  12.121  3.558  13.081  3.837  14.041  4.116  15.001  4.395
  11.158  3.287  12.116  3.573  13.074  3.860  14.032  4.146  14.990  4.433
  11.156  3.294  12.112  3.588  13.067  3.882  14.023  4.176  14.979  4.470
  11.153  3.302  12.107  3.603  13.060  3.905  14.014  4.206  14.967  4.508
  11.151  3.309  12.102  3.618  13.053  3.927  14.004  4.236  14.955  4.545
  11.149  3.316  12.097  3.633  13.046  3.949  13.994  4.266  14.943  4.582
  11.146  3.324  12.092  3.648  13.038  3.972  13.984  4.296  14.930  4.620
  11.144  3.331  12.087  3.663  13.031  3.994  13.974  4.325  14.918  4.657
  11.141  3.339  12.082  3.677  13.023  4.016  13.964  4.355  14.904  4.694
  11.138  3.346  12.076  3.692  13.015  4.038  13.953  4.384  14.891  4.731
  11.135  3.353  12.071  3.707  13.006  4.060  13.942  4.414  14.877  4.767
  11.133  3.361  12.065  3.722  12.998  4.082  13.931  4.443  14.863  4.804
  11.130  3.368  12.060  3.736  12.989  4.104  13.919  4.472  14.849  4.841
  11.127  3.375  12.054  3.751  12.981  4.126  13.907  4.502  14.834  4.877
  11.124  3.383  12.048  3.765  12.972  4.148  13.896  4.531  14.819  4.913
  11.121  3.390  12.042  3.780  12.963  4.170  13.883  4.560  14.804  4.950
  11.118  3.397  12.036  3.794  12.953  4.191  13.871  4.589  14.789  4.986
  11.115  3.404  12.029  3.809  12.944  4.213  13.858  4.617  14.773  5.022
  11.111  3.412  12.023  3.823  12.934  4.235  13.846  4.646  14.757  5.058
  11.108  3.419  12.016  3.837  12.924  4.256  13.833  4.675  14.741  5.093
  11.105  3.426  12.010  3.852  12.914  4.277  13.819  4.703  14.724  5.129
  11.101  3.433  12.003  3.866  12.904  4.299  13.806  4.731  14.707  5.164
  11.098  3.440  11.996  3.880  12.894  4.320  13.792  4.760  14.690  5.200
  11.095  3.447  11.989  3.894  12.884  4.341  13.778  4.788  14.673  5.235
  11.091  3.454  11.982  3.908  12.873  4.362  13.764  4.816  14.655  5.270
  11.087  3.461  11.975  3.922  12.862  4.383  13.750  4.844  14.637  5.305
  11.084  3.468  11.968  3.936  12.851  4.404  13.735  4.872  14.619  5.340
  11.080  3.475  11.960  3.950  12.840  4.425  13.720  4.899  14.600  5.374
  11.076  3.482  11.953  3.964  12.829  4.445  13.705  4.927  14.582  5.409
  11.072  3.489  11.945  3.977  12.817  4.466  13.690  4.954  14.562  5.443
